Iteration	Posterior	Likelihood	Prior	mu_plumage
216500	-744.6882	-744.6795	-0.008732774	0.008732774
217000	-744.4387	-744.4291	-0.009631429	0.009631429
217500	-744.4329	-744.4239	-0.00907488	0.00907488
218000	-746.1491	-746.1411	-0.007939126	0.007939126
218500	-745.1752	-745.1649	-0.01038078	0.01038078
219000	-744.4595	-744.4505	-0.009020861	0.009020861
219500	-746.2297	-746.2187	-0.01095271	0.01095271
220000	-744.4737	-744.464	-0.00970138	0.00970138
220500	-745.3657	-745.3574	-0.008278621	0.008278621
221000	-745.2933	-745.285	-0.00831659	0.00831659
221500	-745.4863	-745.4781	-0.008218535	0.008218535
222000	-746.9928	-746.9815	-0.01127547	0.01127547
222500	-744.3945	-744.3853	-0.009183739	0.009183739
223000	-744.8446	-744.836	-0.008600139	0.008600139
223500	-747.3261	-747.3147	-0.01140324	0.01140324
224000	-745.4393	-745.4311	-0.008241494	0.008241494
224500	-744.55	-744.5411	-0.008883543	0.008883543
225000	-744.7519	-744.7433	-0.008675298	0.008675298
225500	-744.4972	-744.4875	-0.009741839	0.009741839
226000	-744.8693	-744.8592	-0.01015276	0.01015276
226500	-744.6551	-744.6463	-0.008765111	0.008765111
227000	-744.4894	-744.4804	-0.008969719	0.008969719
227500	-746.5279	-746.5168	-0.01108477	0.01108477
228000	-744.3931	-744.3839	-0.009189118	0.009189118
228500	-744.4746	-744.4649	-0.009703096	0.009703096
229000	-745.7251	-745.717	-0.008109334	0.008109334
229500	-746.5391	-746.5281	-0.01108958	0.01108958
230000	-745.3415	-745.3332	-0.008291165	0.008291165
230500	-744.6718	-744.663	-0.008748603	0.008748603
231000	-744.9773	-744.9688	-0.00850514	0.00850514
231500	-745.6636	-745.653	-0.01067254	0.01067254
232000	-744.3908	-744.3813	-0.009490985	0.009490985
232500	-744.38	-744.3705	-0.009432878	0.009432878
233000	-744.8725	-744.8639	-0.008579093	0.008579093
233500	-744.3736	-744.3643	-0.009343726	0.009343726
234000	-745.1598	-745.1514	-0.008391149	0.008391149
234500	-744.4316	-744.4226	-0.009077812	0.009077812
235000	-744.387	-744.3778	-0.009215297	0.009215297
235500	-745.146	-745.1376	-0.008399255	0.008399255
236000	-744.4248	-744.4152	-0.009598658	0.009598658
236500	-745.4464	-745.4358	-0.01055045	0.01055045
237000	-744.6159	-744.6071	-0.008806057	0.008806057
237500	-744.4003	-744.3908	-0.009527223	0.009527223
