Iteration	Replicate_ID	Posterior	Likelihood	Prior	mu_plumage
390	0	-544.1553	-544.1421	-0.0132638	0.0132638
391	1	-544.0837	-544.0703	-0.01340207	0.01340207
392	0	-543.8725	-543.8583	-0.01416215	0.01416215
393	1	-543.886	-543.8714	-0.01463428	0.01463428
394	0	-543.873	-543.8589	-0.01415558	0.01415558
395	1	-544.564	-544.5513	-0.01269748	0.01269748
396	0	-546.8609	-546.8498	-0.01109855	0.01109855
397	1	-544.3818	-544.366	-0.01586478	0.01586478
398	0	-543.9577	-543.9427	-0.01496944	0.01496944
399	1	-543.9719	-543.9582	-0.01367878	0.01367878
400	0	-544.2234	-544.2078	-0.01560115	0.01560115
401	1	-543.8654	-543.8511	-0.0143034	0.0143034
